iter	Passed	Remaining
0	0	960
1	1	997
2	2	929
3	3	901
4	4	890
5	5	899
6	6	898
7	7	885
8	7	869
9	8	861
10	9	859
11	10	850
12	11	854
13	11	843
14	12	832
15	13	822
16	14	822
17	15	832
18	16	830
19	16	829
20	17	831
21	18	826
22	19	832
23	20	835
24	21	834
25	22	832
26	22	823
27	23	817
28	24	808
29	24	804
30	25	798
31	26	796
32	27	792
33	27	790
34	28	786
35	29	783
36	30	784
37	31	789
38	31	783
39	32	785
40	33	785
41	34	789
42	35	785
43	35	781
44	36	777
45	37	776
46	38	774
47	38	773
48	39	772
49	40	773
50	41	771
51	42	768
52	43	768
53	44	779
54	45	781
55	46	779
56	47	778
57	47	777
58	48	775
59	49	779
60	50	777
61	51	778
62	52	774
63	52	771
64	53	770
65	54	767
66	55	766
67	55	766
68	56	766
69	57	764
70	58	766
71	59	770
72	60	770
73	61	768
74	62	769
75	63	767
76	64	768
77	64	766
78	65	764
79	66	763
80	67	764
81	68	763
82	68	757
83	69	758
84	70	758
85	71	758
86	72	756
87	73	756
88	74	757
89	74	756
90	75	756
91	76	756
92	77	753
93	78	754
94	79	753
95	80	755
96	81	757
97	82	756
98	82	755
99	83	754
100	84	753
101	85	753
102	86	752
103	87	752
104	88	752
105	89	751
106	90	751
107	90	750
108	91	750
109	92	750
110	93	750
111	94	751
112	95	752
113	96	752
114	97	753
115	98	752
116	99	750
117	100	749
118	101	749
119	102	749
120	103	749
121	104	748
122	104	747
123	105	747
124	106	747
125	107	746
126	108	745
127	109	745
128	110	745
129	111	744
130	112	744
131	113	743
132	113	742
133	114	742
134	115	741
135	116	740
136	117	739
137	118	737
138	118	735
139	119	735
140	120	735
141	121	732
142	122	731
143	123	731
144	124	731
145	125	732
146	126	731
147	127	731
148	128	731
149	129	731
150	129	730
151	130	729
152	131	728
153	132	727
154	133	726
155	134	725
156	134	724
157	135	723
158	136	722
159	137	721
160	138	719
161	138	718
162	139	717
163	140	717
164	141	716
165	142	715
166	143	713
167	144	713
168	144	712
169	145	710
170	146	709
171	147	708
172	148	707
173	148	706
174	149	705
175	150	704
176	151	703
177	152	702
178	153	702
179	153	701
180	154	700
181	155	699
182	156	698
183	157	698
184	158	697
185	159	696
186	159	695
187	160	694
188	161	693
189	162	692
190	163	691
191	164	690
192	164	689
193	165	688
194	166	687
195	167	686
196	168	685
197	168	683
198	169	682
199	170	682
200	171	681
201	172	680
202	172	678
203	173	678
204	174	677
205	175	676
206	176	675
207	176	673
208	177	672
209	178	671
210	179	670
211	180	669
212	181	668
213	181	667
214	182	666
215	183	665
216	184	664
217	184	663
218	185	662
219	186	661
220	187	660
221	188	659
222	188	658
223	189	657
224	190	655
225	191	655
226	192	654
227	192	652
228	193	651
229	194	650
230	195	649
231	195	648
232	196	647
233	197	646
234	198	645
235	199	644
236	199	643
237	200	642
238	201	641
239	202	640
240	203	639
241	203	638
242	204	637
243	205	636
244	206	635
245	206	634
246	207	633
247	208	632
248	209	631
249	210	630
250	210	628
251	211	627
252	212	626
253	213	625
254	214	625
255	214	624
256	215	623
257	216	623
258	217	622
259	218	621
260	219	620
261	219	619
262	220	618
263	221	617
264	222	616
265	223	615
266	223	614
267	224	613
268	225	612
269	226	611
270	227	610
271	227	609
272	228	608
273	229	607
274	229	606
275	230	605
276	231	605
277	232	604
278	233	603
279	234	602
280	235	601
281	235	600
282	236	599
283	237	598
284	238	597
285	238	596
286	239	595
287	240	594
288	241	593
289	242	593
290	243	592
291	243	591
292	244	590
293	245	589
294	246	588
295	247	588
296	248	587
297	248	586
298	249	585
299	250	584
300	251	583
301	252	582
302	253	582
303	253	581
304	254	579
305	255	579
306	256	578
307	256	577
308	257	576
309	258	575
310	259	574
311	260	573
312	261	573
313	261	572
314	262	571
315	263	570
316	264	569
317	265	568
318	265	567
319	266	566
320	267	565
321	268	564
322	268	563
323	269	562
324	270	562
325	271	561
326	272	560
327	273	559
328	273	558
329	274	557
330	275	556
331	276	555
332	277	555
333	277	554
334	278	553
335	279	552
336	280	551
337	281	550
338	281	549
339	282	548
340	283	547
341	284	546
342	285	546
343	285	545
344	286	544
345	287	543
346	288	542
347	289	542
348	290	541
349	290	539
350	291	539
351	292	538
352	293	537
353	294	536
354	294	535
355	295	534
356	296	534
357	297	533
358	298	532
359	298	531
360	299	530
361	300	529
362	301	528
363	302	528
364	303	527
365	303	526
366	304	525
367	305	525
368	306	524
369	308	524
370	309	524
371	311	525
372	313	527
373	315	528
374	317	528
375	319	529
376	320	529
377	322	530
378	324	531
379	326	532
380	328	534
381	330	535
382	332	535
383	335	537
384	337	539
385	339	540
386	342	541
387	344	543
388	346	544
389	348	545
390	350	546
391	353	547
392	354	548
393	356	548
394	359	550
395	361	550
396	363	552
397	365	553
398	368	554
399	370	555
400	372	557
401	375	558
402	377	559
403	379	560
404	381	561
405	384	562
406	386	563
407	389	564
408	391	565
409	392	564
410	394	565
411	396	565
412	398	566
413	400	567
414	402	567
415	405	568
416	407	569
417	409	570
418	412	571
419	415	573
420	417	574
421	419	575
422	422	575
423	424	577
424	427	578
425	429	579
426	432	580
427	435	581
428	437	582
429	439	583
430	442	584
431	445	585
432	447	586
433	450	587
434	452	588
435	455	589
436	458	590
437	460	590
438	463	591
439	465	592
440	467	592
441	470	593
442	472	594
443	475	594
444	477	595
445	480	596
446	482	597
447	485	598
448	488	599
449	491	600
450	493	600
451	496	601
452	498	602
453	500	602
454	503	602
455	506	604
456	508	604
457	511	605
458	514	606
459	517	607
460	520	608
461	522	608
462	525	608
463	527	609
464	530	610
465	532	610
466	535	611
467	537	611
468	540	611
469	542	611
470	544	612
471	547	612
472	550	613
473	553	614
474	555	614
475	558	614
476	561	615
477	565	617
478	568	618
479	571	618
480	573	619
481	576	619
482	578	619
483	581	619
484	584	620
485	586	620
486	589	620
487	591	621
488	594	621
489	597	621
490	599	621
491	601	621
492	604	621
493	606	621
494	609	622
495	612	622
496	614	622
497	616	621
498	619	622
499	621	621
500	624	622
501	627	622
502	629	621
503	631	621
504	633	621
505	636	621
506	639	621
507	642	621
508	644	621
509	646	621
510	648	620
511	650	620
512	653	620
513	656	620
514	658	619
515	660	619
516	663	619
517	665	619
518	668	619
519	671	619
520	673	619
521	676	619
522	679	619
523	681	619
524	684	619
525	687	619
526	689	618
527	691	618
528	694	618
529	696	617
530	699	617
531	702	617
532	704	617
533	707	617
534	709	616
535	712	616
536	715	616
537	717	616
